Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C13, C16, C7, CAPLED1, CAPLED10, CAPLED11, CAPLED12, CAPLED13, CAPLED14, CAPLED15, CAPLED16, CAPLED17, CAPLED18, CAPLED19, CAPLED2, CAPLED20, CAPLED21, CAPLED22, CAPLED23, CAPLED24, CAPLED25, CAPLED26, CAPLED27, CAPLED28, CAPLED29, CAPLED3, CAPLED30, CAPLED31, CAPLED32, CAPLED33, CAPLED34, CAPLED35, CAPLED36, CAPLED37, CAPLED38, CAPLED39, CAPLED4, CAPLED40, CAPLED41, CAPLED42, CAPLED43, CAPLED5, CAPLED6, CAPLED7, CAPLED8, CAPLED9",Capacitor_0402,48,100nF,C307331
"C12, C17",Capacitor_0402,2,4.7uF,C23733
C14,Capacitor_0402,1,10nF,C15195
"C15, C8, C9",Capacitor_0402,3,1uF,C52923
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D5, D6, D7, D8, D9, DLED1",D_SOD-123,43,1N4148W,
F1,Fuse_0603,1,500mA,C210357
J1,USB_C_HRO_TYPE-C-31-M-12,1,USB_C,C165948
J2,JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical,1,Conn_01x05_Socket,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED5, LED6, LED7, LED8, LED9",LED_SK6812MINI,43,SK6812MINI,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX5, MX6, MX7, MX8, MX9",SW_MX_HS_CPG151101S11_1u,42,MX_SW_solder,
MX36,SW_MX_HS_CPG151101S11_1.25u,1,MX_SW_solder,
R1,Resistor_0402,1,10k,C25744
"R2, R3",Resistor_0402,2,5.1k,C25905
S35,STAB_MX_P_ISO-ROT,1,MX_stab,
S39,STAB_MX_P_2.75u,1,MX_stab,
S40,STAB_MX_P_2.25u,1,MX_stab,
S43,STAB_MX_P_7u,1,MX_stab,
SW1,Button_TL3342,1,SW_Push,C115351
SW2,Encoder_EC11_MX,1,RotaryEncoder_Switch,
U1,Package_LQFP-48_7x7mm_P0.5,1,STM32F072CBT6,C81720
U3,Voltage_SOT-23,1,XC6206,C5446
U4,ESD_SOT-23-6,1,USBLC6-2SC6,C2827654
