Designator,Mid X,Mid Y,Rotation,Layer
C10,152.912444,-117.274506,90.0,bottom
C11,144.039944,-108.402002,180.0,bottom
C12,144.039937,-107.419502,180.0,bottom
C13,156.284945,-113.902005,0.0,bottom
C14,149.162445,-117.274505,90.0,bottom
C15,148.179945,-117.274506,90.0,bottom
C16,153.834952,-106.429506,90.0,bottom
C17,154.817445,-106.429508,90.0,bottom
C7,150.162444,-117.274505,270.0,bottom
C8,155.077196,-89.994502,180.0,bottom
C9,154.126196,-94.879502,180.0,bottom
CAPLED1,41.624945,-146.627005,180.0,bottom
CAPLED10,84.779059,-127.617001,180.0,bottom
CAPLED11,92.029325,-127.577917,180.0,bottom
CAPLED12,99.277324,-127.591667,180.0,bottom
CAPLED13,106.505383,-127.566008,180.0,bottom
CAPLED14,113.748996,-127.549959,180.0,bottom
CAPLED15,120.943172,-127.584336,180.0,bottom
CAPLED16,128.174896,-127.584336,180.0,bottom
CAPLED17,135.421283,-127.577004,180.0,bottom
CAPLED18,142.703741,-127.578512,180.0,bottom
CAPLED19,149.991063,-127.567515,180.0,bottom
CAPLED2,48.768695,-146.627005,180.0,bottom
CAPLED20,157.264137,-127.581892,180.0,bottom
CAPLED21,164.524175,-127.571506,180.0,bottom
CAPLED22,171.728807,-127.566008,180.0,bottom
CAPLED23,178.956866,-127.569673,180.0,bottom
CAPLED24,186.269233,-127.569673,180.0,bottom
CAPLED25,193.49324,-127.566008,180.0,bottom
CAPLED26,200.735961,-127.566008,180.0,bottom
CAPLED27,207.972292,-127.557242,180.0,bottom
CAPLED28,215.250333,-127.567515,180.0,bottom
CAPLED29,222.456793,-127.569673,180.0,bottom
CAPLED3,55.912445,-146.627005,180.0,bottom
CAPLED30,229.739836,-127.555011,180.0,bottom
CAPLED31,229.728839,-121.142547,180.0,bottom
CAPLED32,229.709064,-114.856546,180.0,bottom
CAPLED33,229.712445,-113.167005,180.0,bottom
CAPLED34,234.144193,-110.87893,270.0,bottom
CAPLED35,240.804085,-110.864267,270.0,bottom
CAPLED36,247.336174,-110.875264,270.0,bottom
CAPLED37,253.958023,-110.891759,270.0,bottom
CAPLED38,260.699945,-110.908255,270.0,bottom
CAPLED39,260.699945,-118.052005,270.0,bottom
CAPLED4,63.056195,-146.627005,0.0,bottom
CAPLED40,260.699945,-125.195755,270.0,bottom
CAPLED41,260.712449,-132.347393,270.0,bottom
